mechanism_name,strategy_name,domain_name,n_outcomes,opposition,max_welfare,time,full_time,run_time,succeeded,agreement_utils,welfare,relative_welfare,pdist,ndist,time_limit,n_rounds,nash_welfare,relative_nash_welfare,reserved0,reserved1,reserved,steps,failed
AOr,AgentK,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,3.4957053028047085,3.49601886048913,2.820191267877817,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,HardHeaded,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,3.354622319340706,3.354918982833624,2.9166819863021374,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,HardHeaded,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,3.672954715788365,3.673295602202416,3.488842651247978,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,HardHeaded,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,3.6597286984324455,3.6600747667253017,3.217809747904539,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,Caduceus,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.693867977708578,4.694244336336851,3.993295162916184,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,Caduceus,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.71020720526576,4.710491999983788,4.108779914677143,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,Caduceus,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.671734135597944,4.672096509486437,4.3640040419995785,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,CUHKAgent,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.224689334630966,4.225051052868366,4.136983837932348,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,CUHKAgent,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.4577086344361305,4.458028376102448,4.380234364420176,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,CUHKAgent,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.384016707539558,4.384337905794382,4.085288107395172,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,NiceTitForTat,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.319527793675661,4.320127286016941,4.104823473840952,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,NiceTitForTat,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.422345701605082,4.422618478536606,4.335143204778433,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,NiceTitForTat,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.244978945702314,4.245249755680561,3.946386933326721,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOt,Atlas3,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,71.09275800734758,71.09332229569554,70.30771652236581,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",1900,False
AOt,Atlas3,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,71.607720464468,71.60953833535314,70.82159939035773,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",1902,False
AOt,Atlas3,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,71.75025783479214,71.75188580527902,70.9731674157083,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",1905,False
AOt,Atlas3,0000011Fifty2013,11,0.7071067811865476,1.0,91.7895930185914,91.79004718735814,91.51843516528606,True,"(0.5, 0.5)",1.0,1.0,0.0,0.7071067811865476,180,22,1.0,1.0,0.0,0.0,"(0.0, 0.0)",2714,False
AOt,Atlas3,0000011Fifty2013,11,0.7071067811865476,1.0,92.38821832463144,92.38852410018444,92.1706662401557,True,"(0.5, 0.5)",1.0,1.0,0.0,0.7071067811865476,180,22,1.0,1.0,0.0,0.0,"(0.0, 0.0)",2719,False
